state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
06,037,1405,14129,1,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,95494,34.006389,-118.193056,WGS84,1.0,53.0,,,Rehrig (Exide),"4010 E. 26th Street, Vernon, CA 90058",California,Los Angeles,Vernon,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1405,14129,2,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,95494,34.006389,-118.193056,WGS84,1.0,53.0,,,Rehrig (Exide),"4010 E. 26th Street, Vernon, CA 90058",California,Los Angeles,Vernon,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,073,1023,14129,1,Lead (TSP) LC,2014-11-01,,,POINT,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,192,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extract with hot nitric acid,2014-11-01,Y,Y,SLAMS,,0942,San Diego County Air Pollution Control District,101612,33.130897,-117.272389,NAD83,5.0,96.0,,,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",,,,
06,037,1404,14129,1,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,95493,34.02637,-117.9822,NAD83,1.0,91.0,,,Closet World (Quemetco),"500 S. 7th Ave. City of Industry, CA 91746",California,Los Angeles,Industry (corporate name for City of Industry),31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1406,14129,1,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,95495,34.008333,-118.190556,WGS84,1.0,53.0,,,ATSF (Exide),"Rail Road Yard Washington Blvd., Commerce, CA 90058",California,Los Angeles,Commerce,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1302,14129,1,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,94733,33.901389,-118.205,WGS84,1.0,27.0,,,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1602,14129,1,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,92493,34.01029,-118.0685,NAD83,1.0,75.0,6.0,,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1406,14129,2,Lead (TSP) LC,2015-07-05,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2015-07-05,Y,,SLAMS,,0972,South Coast Air Quality Management District,95495,34.008333,-118.190556,WGS84,1.0,53.0,,,ATSF (Exide),"Rail Road Yard Washington Blvd., Commerce, CA 90058",California,Los Angeles,Commerce,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,065,8001,14129,2,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,1262,33.99958,-117.41601,WGS84,0.0,250.0,,,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1302,14129,2,Lead (TSP) LC,2015-01-18,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2015-01-18,,,SLAMS,,0972,South Coast Air Quality Management District,94733,33.901389,-118.205,WGS84,1.0,27.0,,,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1103,14129,2,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,1081,34.06659,-118.22688,WGS84,0.0,87.0,13.0,,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1403,14129,1,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,95492,33.954952,-118.055768,NAD83,1.0,44.0,,,Uddelholm (Trojan Battery),"9440 Ann Street, Santa Fe Springs, CA 90670",California,Los Angeles,Santa Fe Springs,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,5005,14129,1,Lead (TSP) LC,2009-01-01,,,MOBILE,NEIGHBORHOOD,500 M TO 4KM,UPWIND BACKGROUND,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,91948,33.95507,-118.43049,NAD83,10.0,21.0,,TOP OF BUILDING,LAX Hastings,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,071,9004,14129,2,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,1340,34.106678,-117.274063,NAD83,0.0,0.0,,,San Bernardino,"24302 4TH ST., SAN BERNARDINO, CA.",California,San Bernardino,San Bernardino,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,
06,085,2011,14129,3,Lead (TSP) LC,2012-02-03,2020-06-26,,MOBILE,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2012-02-03,Y,,,,0086,Bay Area Air Quality Management District,96619,37.329841,-121.815438,WGS84,3.0,41.0,1.6,GROUND LEVEL SUPPORT,Reid Hillview Airport,"2500 Cummingham Avenue, San Jose",California,Santa Clara,San Jose,41940,"San Jose-Sunnyvale-Santa Clara, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,073,1023,14129,2,Lead (TSP) LC,2014-11-01,,,POINT,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,192,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extract with hot nitric acid,2014-11-01,,,SLAMS,,0942,San Diego County Air Pollution Control District,101612,33.130897,-117.272389,NAD83,5.0,96.0,,,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",,,,
06,037,4004,14129,2,Lead (TSP) LC,2003-08-07,,,MOBILE,URBAN SCALE,4 KM TO 50 KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2003-08-07,Y,,SLAMS,,0972,South Coast Air Quality Management District,91659,33.79236,-118.17533,WGS84,0.1,6.0,4.0,TOP OF BUILDING,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,037,1405,14129,3,Lead (TSP) LC,2009-01-01,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,95494,34.006389,-118.193056,WGS84,1.0,53.0,,,Rehrig (Exide),"4010 E. 26th Street, Vernon, CA 90058",California,Los Angeles,Vernon,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
12,057,1066,14129,1,Lead (TSP) LC,2009-01-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2014-01-01,Y,Y,SLAMS,,0491,Hillsborough County Environmental Protection Commission,2800,27.960148,-82.381873,NAD83,0.0,15.0,3.0,,GULF COAST LEAD,1700 NORTH 66TH STREET,Florida,Hillsborough,Tampa,45300,"Tampa-St. Petersburg-Clearwater, FL",,,,
12,057,0100,14129,1,Lead (TSP) LC,2010-04-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2014-01-01,Y,,SPM,,0491,Hillsborough County Environmental Protection Commission,96015,27.970328,-82.38005,NAD83,1.0,16.0,3.0,GROUND LEVEL SUPPORT,KENLY,2909 N 66TH ST,Florida,Hillsborough,East Lake-Orient Park,45300,"Tampa-St. Petersburg-Clearwater, FL",,,,
12,057,1073,14129,1,Lead (TSP) LC,2009-01-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2014-01-01,Y,,SPM,,0491,Hillsborough County Environmental Protection Commission,2806,27.96483,-82.37921,NAD83,1214.49,7.0,4.0,OTHER,Patent Scaffolding,6811 EAST 14TH AVENUE,Florida,Hillsborough,Tampa,45300,"Tampa-St. Petersburg-Clearwater, FL",,,,
12,057,1066,14129,2,Lead (TSP) LC,2009-01-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2014-01-01,,,SLAMS,,0491,Hillsborough County Environmental Protection Commission,2800,27.960148,-82.381873,NAD83,0.0,15.0,3.0,,GULF COAST LEAD,1700 NORTH 66TH STREET,Florida,Hillsborough,Tampa,45300,"Tampa-St. Petersburg-Clearwater, FL",,,,
13,215,0009,14129,1,Lead (TSP) LC,2012-02-03,2020-12-31,,POINT,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2017-01-01,,,,,0437,Georgia Air Protection Branch Ambient Monitoring Program,3354,32.4344,-84.9293,NAD83,0.0,83.0,2.3,GROUND LEVEL SUPPORT,Columbus-Allied,"4365 ALLIED DRIVE, COLUMBUS, GA 31906",Georgia,Muscogee,Columbus,17980,"Columbus, GA-AL",194,"Columbus-Auburn-Opelika, GA-AL",,
13,215,0011,14129,1,Lead (TSP) LC,2009-10-01,2020-07-26,,POINT,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2017-01-01,,,,,0437,Georgia Air Protection Branch Ambient Monitoring Program,3356,32.4297,-84.9316,NAD83,0.0,76.0,1.8,TOP OF BUILDING,Columbus-Cusseta,"Cusseta Road Elementary School, 4150 Cusseta Road, Columbus, Georgia, 31903",Georgia,Muscogee,Columbus,17980,"Columbus, GA-AL",194,"Columbus-Auburn-Opelika, GA-AL",,
